"Typestatus","Count"
"paratype of <a href=""http://arctos.database.museum/name/notropis atrapiculus"">notropis atrapiculus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/notropis cummingsae collis"">notropis cummingsae collis</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/notropis merlini"">notropis merlini</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/paramormyrops"">paramormyrops sp. robertsi</a> sp. robertsi in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/percina notogramma montuosa"">percina notogramma montuosa</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/percina peltata"">percina peltata</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"paratype of <a href=""http://arctos.database.museum/name/synodontis ngouniensis"">synodontis ngouniensis</a>, page 122 in <a href=""http://arctos.database.museum/publication/10006817"">de weirdt et al. 2008</a>",2
"paratype of <a href=""http://arctos.database.museum/name/varicorhinus axelrodi"">varicorhinus axelrodi</a>, page 160 in <a href=""http://arctos.database.museum/publication/10006895"">getahun et al. 2004</a>",2
"syntype of <a href=""http://arctos.database.museum/name/thalassophryne dowi"">thalassophryne dowi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"voucher of <a href=""http://arctos.database.museum/name/etheostoma olmstedi"">etheostoma olmstedi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",2
"voucher of <a href=""http://arctos.database.museum/name/haplochromis vanheusdeni"">haplochromis vanheusdeni</a>, page 137 in <a href=""http://arctos.database.museum/publication/10006849"">schedel et al. 2014</a>",2
"voucher of <a href=""http://arctos.database.museum/name/kneria paucisquamata"">kneria paucisquamata</a>, page 298 in <a href=""http://arctos.database.museum/publication/10007015"">near et al. 2014</a>",2
"voucher of <a href=""http://arctos.database.museum/name/nannocharax brevis"">nannocharax brevis</a>, page 367 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",2
"voucher of <a href=""http://arctos.database.museum/name/nannocharax maculicauda"">nannocharax maculicauda</a>, page 368 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",2
"voucher of <a href=""http://arctos.database.museum/name/nannocharax taenia"">nannocharax taenia</a>, page 368 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",2
"voucher of nannocharax uniocellatus, page 368 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",2
"basis of illustration of <a href=""http://arctos.database.museum/name/mochokus niloticus"">mochokus niloticus</a>, page 5 in <a href=""http://arctos.database.museum/publication/10006792"">stewart et al. 2014</a>",1
"holotype of <a href=""http://arctos.database.museum/name/amphilius caudosignatus"">amphilius caudosignatus</a>, page 48 in <a href=""http://arctos.database.museum/publication/10006810"">skelton 2007</a>",1
"holotype of <a href=""http://arctos.database.museum/name/amphilius frieli"">amphilius frieli</a>, page 75 in <a href=""http://arctos.database.museum/publication/10007185"">thomson et al. zootaxa  3986 (1) </a>",1
"holotype of <a href=""http://arctos.database.museum/name/amphilius pedunculus"">amphilius pedunculus</a>, page 70 in <a href=""http://arctos.database.museum/publication/10007185"">thomson et al. zootaxa  3986 (1) </a>",1
"holotype of <a href=""http://arctos.database.museum/name/atopodontus adriaensi"">atopodontus adriaensi</a>, page 16 in <a href=""http://arctos.database.museum/publication/10006796"">friel and vigliotta 2008</a>",1
"holotype of <a href=""http://arctos.database.museum/name/chiloglanis igamba"">chiloglanis igamba</a>, page 4 in <a href=""http://arctos.database.museum/publication/10006805"">friel and vigliotta 2011</a>",1
"holotype of <a href=""http://arctos.database.museum/name/chiloglanis kazumbei"">chiloglanis kazumbei</a>, page 9 in <a href=""http://arctos.database.museum/publication/10006805"">friel and vigliotta 2011</a>",1
"holotype of <a href=""http://arctos.database.museum/name/chiloglanis orthodontus"">chiloglanis orthodontus</a>, page 4 in <a href=""http://arctos.database.museum/publication/10006805"">friel and vigliotta 2011</a>",1
