"Waterbody","Count"
"r. jauru",4
"r. magdalena basin ; r. san gil",4
"r. maullin basin",4
"r. mesquital drainage; r. de santiago",4
"r. meta",4
"r. mezquital drainage",4
"r. nazas drainage; r. del penon de covadonga",4
"r. pacaya",4
"r. panuco",4
"r. parana basin ; r. grande",4
"r. patia basin; r. magui",4
"r. petrohue basin; r. petrohue",4
"r. pilcomayo basin",4
"r. polochis drainage",4
"r. quelite",4
"r. rosario drainage; r. rosario",4
"r. san pedro & san pedrito",4
"r. santa ines",4
"r. tamazula",4
"r. timis",4
"r. tocantins basin; lagoa barra fazenda",4
"r. tocantins basin; lagoa jacu",4
"red r.",4
"redwood creek",4
"rio arenales",4
"rio calle calle basin; lago rinihue",4
"rio cautin",4
"rio contador",4
"rio dagua",4
"rio maullin basin; rio pescado",4
"rio motagua basin; rio kilagua",4
"rio motagua basin; rio motagua",4
"rio palacios",4
"rio rimac basin",4
"rupununi r.",4
"russian r. basin; dry cr.",4
"s.f. bay",4
"sacramento r. basin; north fork cache cr.",4
"sagami nada",4
"sai gon r. basin",4
"salinas reservoir",4
"salween r. basin; salween r.",4
"san joaquin drainage",4
"san joaquin r. basin; holland cut",4
"san juanico bay",4
"san lorenzo riv. ?",4
"san luis gonzaga bay",4
"san pedro bay",4
"san-san creek",4
"sargasso sea",4
"saskatchewan r. system; saskatchewan r.",4
"sea of cortez",4
"shepherd's haven",4
"short cr.",4
"south fork santa ana r.",4
"stoney creek",4
"tenasserim r.",4
"thurston lake",4
"timis riv.",4
"trinity r. basin; rush cr.",4
"trinity r. basin; trinity r.",4
"tule river",4
"turkey creek",4
"turkey lake",4
"turung bay",4
"ugak bay",4
"upper echo lake",4
"w bering sea",4
"watts creek",4
"webber creek",4
"willow cr.",4
"yaguas yacu",4
"[ensenada de] matenchen",3
"adobe cr.",3
"adriatic sea",3
"alligator creek",3
"arroyo del zapotillo",3
"bahia de san rafael",3
"baie d'amboro",3
"bangpakong r.",3
"baracbac creek",3
"baram r. basin; arur dalan",3
"barima r.",3
"barkley sound: grappler inlet",3
"bay of islands",3
"bay of massawa",3
"bear cr.",3
"bear lake",3
"big navarro-garcia basin; navarro r.",3
"bight of biafra",3
"blanco r.",3
"blue lake",3
"bocochebampo bay",3
"boon yapan stream",3
"buhatan r.",3
"cano de quiribana",3
"carp cr.",3
"chao phraya basin; menam ping",3
"chiles cr.",3
"cimarron river",3
"colorado lagoon",3
"columbia r. basin; santiam r.",3
"columbia r. system; grand ronde r.",3
"congo r. basin; r. inkisi",3
"convict cr.",3
"corte madera cr.",3
"cowan (=james) bay",3
"cowan bay",3
"cross r.",3
"deer cr.",3
"demerara r. basin; demerara river",3
"doney creek",3
"drainage: elbe river",3
"drainage: essequibo ?; rio rupununi ?",3
"drainage: gila river",3
"drainage: kelantan river",3
"drainage: lake volta; volta r.",3
"drainage: mekong",3
"drainage: missouri",3
"drainage: missouri r.",3
"drainage: navarro r.",3
"drainage: novato cr.",3
"drainage: pacheco cr.",3
"drainage: pahang river",3
"drainage: parana/de la plata; arroyo carumbey",3
"drainage: pearl river",3
"drainage: pee dee river; trib. to little pee dee river",3
"drainage: r. guayas; r. barranca alta",3
"drainage: r. guayas; r. chanchan",3
"drainage: r. parana",3
