"dwc.preparations","freq"
"95% EtOH (spec) - 16",2
"95% EtOH (spec) - 18",2
"95% EtOH (spec) - 2; 70% EtOH - 1",2
"95% EtOH (spec) - 2; 70% EtOH - 10",2
"95% EtOH (spec) - 2; 70% EtOH - 19",2
"95% EtOH (spec) - 2; 70% EtOH - 7",2
"95% EtOH (spec) - 2; 70% EtOH - 8",2
"95% EtOH (spec) - 20",2
"95% EtOH (spec) - 3; 70% EtOH - 3",2
"95% EtOH (spec) - 32",2
"95% EtOH (spec) - 36",2
"95% EtOH (spec) - 4; 70% EtOH - 12",2
"95% EtOH (spec) - 4; 70% EtOH - 6",2
"95% EtOH (spec) - 5; 70% EtOH - 2",2
"95% EtOH (spec) - 7; 70% EtOH - 8",2
"95% EtOH (spec) - 9",2
"95% EtOH (tiss) - 1; 70% EtOH - 6",2
"95% EtOH (tiss) - 1; 95% EtOH (spec) - 1; 70% EtOH - 1",2
"95% EtOH (tiss) - 11",2
"95% EtOH (tiss) - 16",2
"95% EtOH (tiss) - 23",2
"95% EtOH (tiss) - 3; 70% EtOH - 4",2
"95% EtOH (tiss) - 31",2
"95% EtOH (tiss) - 6; 70% EtOH - 6",2
"95% EtOH (tiss) - 7",2
"C&S - 1; 70% EtOH - 9",2
"C&S - 2; 70% EtOH - 10",2
"frozen (spec) - 1; 70% EtOH - 2",2
"frozen (spec) - 1; 70% EtOH - 4",2
"frozen (spec) - 10",2
"frozen (spec) - 13",2
"frozen (spec) - 15",2
"frozen (spec) - 16",2
"frozen (spec) - 19",2
"frozen (spec) - 2; 70% EtOH - 2",2
"frozen (spec) - 20",2
"frozen (spec) - 20; 70% EtOH - 1",2
"frozen (spec) - 24",2
"frozen (spec) - 3; 70% EtOH - 3",2
"frozen (spec) - 4; 70% EtOH - 1",2
"frozen (spec) - 7",2
"frozen (spec) - 9",2
"frozen (tiss) - 1",2
"frozen to 95% EtOH - 10; 70% EtOH - 10",2
"frozen to 95% EtOH - 10; 70% EtOH - 11",2
"frozen to 95% EtOH - 10; 70% EtOH - 13",2
"frozen to 95% EtOH - 10; 70% EtOH - 4",2
"frozen to 95% EtOH - 10; 70% EtOH - 6",2
"frozen to 95% EtOH - 10; 70% EtOH - 7",2
